CD_MUNICIPIO;NM_MUNICIPIO;TOTAL_NOTIFICACOES;TOTAL_TESTES;NEGATIVO_RTPCR;NEGATIVO_TESTERAPIDO;NEGATIVO_OUTROS;POSITIVO_RTPCR;POSITIVO_TESTERAPIDO;POSITIVO_OUTROS
431406;"Passa Sete";1249;1234;379;566;1;123;132;11
431407;"Passo do Sobrado";2486;2065;551;801;0;397;215;11
431410;"Passo Fundo";139866;119271;29316;48601;196;15980;15967;1345
431415;Paverama;2134;2047;561;871;0;315;256;9
431417;"Pedras Altas";1160;1092;322;598;0;72;74;0
431420;"Pedro Osório";3629;3619;1414;1382;5;384;289;9
431430;Pejuçara;2153;2071;266;1368;2;65;345;7
431442;"Picada Café";1569;1521;379;661;3;181;251;9
431445;Pinhal;1308;1288;493;405;16;177;129;11
431446;"Pinhal da Serra";1120;1115;13;825;1;26;190;13
431450;"Pinheiro Machado";5617;5266;1181;2742;1;550;713;18
431454;"Pinto Bandeira";1018;975;224;457;0;91;171;8
431455;Pirapó;1214;1062;24;849;0;17;133;5
431475;"Poço das Antas";945;922;286;388;1;102;134;27
431477;Pontão;1027;876;317;178;1;221;103;3
431478;"Ponte Preta";688;687;11;504;0;4;156;1
431480;Portão;17128;14638;1502;8474;8;694;2180;80
431505;"Porto Mauá";661;612;129;263;1;89;94;9
431507;"Porto Vera Cruz";710;698;197;364;0;76;41;2
431510;"Porto Xavier";5503;5418;155;3241;2;224;1443;37
431514;"Presidente Lucena";1456;1434;300;677;0;196;238;3
431515;Progresso;1748;1727;241;776;4;121;492;20
431517;"Protásio Alves";407;354;21;200;0;29;61;4
431520;Putinga;1578;1564;335;543;1;377;197;34
431531;"Quatro Irmãos";387;388;44;248;0;22;65;2
431532;Quevedos;514;488;21;229;1;10;212;0
431540;Redentora;4366;3189;1185;1000;1;572;351;18
431550;"Restinga Seca";5096;4785;1053;2110;5;637;727;34
431560;"Rio Grande";125577;100202;28733;42605;411;10431;6032;691
431570;"Rio Pardo";14836;11139;1691;5849;5;1034;840;61
431575;Riozinho;1685;1591;261;784;2;152;340;8
431590;"Rodeio Bonito";2423;2361;977;706;53;273;149;34
431595;Rolador;926;880;91;530;1;56;161;5
431600;Rolante;10797;10166;1812;4613;11;1379;1945;54
431610;"Ronda Alta";4059;2954;451;940;25;343;987;29
431630;"Roque Gonzales";4313;4293;222;3311;3;76;567;12
431640;"Rosário do Sul";18775;16102;4397;6864;14;2054;1540;63
431642;"Sagrada Família";1158;958;347;263;0;206;99;156
431645;"Salto do Jacuí";5162;4357;336;2688;9;204;793;42
431647;"Salvador das Missões";1456;1442;80;928;9;51;296;15
431650;"Salvador do Sul";2661;2397;727;891;4;392;306;6
431660;Sananduva;8844;8441;932;4319;19;534;2288;70
431673;"Santa Cecília do Sul";1559;1437;58;808;3;30;484;1
431680;"Santa Cruz do Sul";77447;70168;15762;31111;114;9217;6310;391
431690;"Santa Maria";127079;87867;17328;30208;95;18153;12095;3517
431695;"Santa Maria do Herval";1749;1520;133;669;0;139;438;48
431700;"Santana da Boa Vista";1138;935;305;254;19;75;117;3
431710;"Santana do Livramento";53024;41685;7459;22552;257;3363;6019;136
431725;"Santa Tereza";972;949;63;634;1;38;167;12
431730;"Santa Vitória do Palmar";14029;13054;1113;8390;21;579;2537;63
431750;"Santo Ângelo";53854;43894;6642;23342;104;4200;2452;138
431760;"Santo Antônio da Patrulha";19871;18957;4339;8117;76;2687;2145;150
431770;"Santo Antônio das Missões";5459;4824;109;4156;1;102;109;12
431775;"Santo Antônio do Planalto";694;611;22;422;0;16;120;11
431780;"Santo Augusto";4265;4022;1122;1399;5;534;843;9
431790;"Santo Cristo";4794;4798;204;2861;5;94;1366;60
431795;"Santo Expedito do Sul";776;773;32;476;1;28;162;0
431805;"São Domingos do Sul";830;815;133;178;4;217;205;17
431810;"São Francisco de Assis";6751;6103;975;3302;2;366;1114;14
431820;"São Francisco de Paula";5748;5456;1239;2363;4;597;899;58
431830;"São Gabriel";30403;29487;8516;12458;17;5559;2150;220
431842;"São João da Urtiga";1956;1919;68;966;4;36;781;2
431844;"São Jorge";709;687;22;253;0;21;346;7
431845;"São José das Missões";1415;1350;271;742;1;136;163;3
431846;"São José do Herval";429;380;40;157;2;16;139;0
431848;"São José do Hortêncio";1891;1801;422;770;1;262;287;10
431850;"São José do Norte";11068;5516;553;2624;78;236;465;115
431860;"São José do Ouro";2714;2677;88;1576;1;35;891;18
431861;"São José do Sul";931;855;329;250;1;148;93;18
431862;"São José dos Ausentes";1643;1119;206;269;0;366;186;55
431870;"São Leopoldo";90473;84653;19456;36109;126;8991;13902;522
431880;"São Lourenço do Sul";12593;11031;2758;3979;22;1706;1072;250
431900;"São Marcos";17250;16170;4037;7870;6;1782;1324;163
431910;"São Martinho";1615;1599;310;514;2;240;493;14
431912;"São Martinho da Serra";738;393;104;164;0;38;38;9
431915;"São Miguel das Missões";2849;2690;410;1501;2;233;491;11
431930;"São Paulo das Missões";1411;1387;36;726;2;26;486;45
431936;"São Pedro das Missões";795;746;183;200;0;224;67;1
431937;"São Pedro do Butiá";1323;1300;33;881;2;16;318;14
431950;"São Sebastião do Caí";14501;11149;1900;5687;9;951;2137;66
431960;"São Sepé";8243;7791;1671;3975;8;844;437;19
431970;"São Valentim";1352;1326;297;752;3;80;164;5
431971;"São Valentim do Sul";663;639;209;147;2;166;110;7
431975;"São Vendelino";913;847;53;372;2;33;260;5
431980;"São Vicente do Sul";2096;1364;100;669;1;58;410;4
432000;"Sapucaia do Sul";63899;52398;18529;14700;320;10067;2756;393
